Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
GAPT,1,0,0,0
CMTR2,1,0,0,0
S100A11,1,1,1,0
CBFB,1,0,0,0
AC125257.1,1,0,0,0
TROVE2,1,1,0,0
SOCS4,1,0,0,0
STARD4,1,0,0,0
ZDHHC21,1,0,0,0
ARMT1,1,0,0,0
ARMCX2,1,0,0,0
SLC38A2,1,0,0,0
MOB1A,1,0,0,0
GOLGA7,1,0,0,0
SAMD9,1,0,1,0
RAB8B,1,0,0,0
PAWR,1,0,0,0
ARL5A,1,1,0,0
KRAS,1,0,0,0
CLUH,1,0,0,0
PAF1,1,0,0,0
ABRACL,1,0,0,0
SQLE,1,0,0,0
TLR10,1,0,0,0
ZMAT3,1,0,0,0
AMPD2,1,0,0,0
AP5M1,1,0,0,0
UBA3,1,0,0,0
METTL7A,1,0,0,0
CCDC88B,1,0,0,0
RAB35,1,0,0,0
DYNLT3,1,0,0,0
GPR18,1,0,0,0
TMEM214,1,0,0,0
AKAP1,1,0,0,0
IPMK,1,0,1,0
TSC22D4,1,0,1,0
UBE2D1,1,1,0,0
DENR,1,0,0,0
ZFP36,1,1,1,0
HSPD1,1,0,0,0
FKBP4,1,0,0,0
MAP1S,1,1,0,0
RNF219,1,0,0,0
SPCS2,1,0,0,0
FAM91A1,1,0,0,0
SRP9,1,0,0,0
SH2D3C,1,0,1,0
LARP7,1,0,0,0
PDLIM1,1,0,0,0
LPAR5,1,0,0,0
FBXL19,1,0,0,0
RAB33B,1,0,0,0
COMMD8,1,0,0,0
SYNCRIP,1,0,0,0
AL645941.2,1,0,0,0
POLRMT,1,0,0,0
EIF3J,1,0,0,0
FASN,1,0,0,0
MAF,1,1,0,0
NOTCH1,1,0,1,0
GUF1,1,0,0,0
RPS6KB1,1,0,0,0
CGGBP1,1,0,0,0
WDR46,1,0,0,0
BASP1,1,0,1,1
DUSP7,1,0,0,0
IFIH1,1,0,0,0
CCND2,1,1,0,0
ANP32E,0,1,0,0
PPP1R9B,0,1,1,0
SH3BGRL3,0,1,1,0
MOB3A,0,1,1,0
TGFB1,0,1,0,0
CNOT3,0,1,1,0
MT-ND4L,0,1,0,0
APOBR,0,1,1,1
TLE3,0,1,0,0
HSPB1,0,1,0,0
RNF44,0,1,1,0
BHLHE40,0,1,0,0
NACC1,0,1,1,0
FAM110A,0,1,1,0
EVI2B,0,1,1,0
CAMTA2,0,1,0,0
LIN7C,0,1,0,0
MT-ATP6,0,1,0,0
MYADM,0,1,1,0
PIM1,0,1,0,0
MT-ND4,0,1,0,0
TMED5,0,1,1,0
MT-CO2,0,1,1,0
CHD3,0,1,0,0
ARL4C,0,1,0,0
ZYX,0,1,1,0
PNN,0,1,0,0
RAC2,0,1,1,0
PLEC,0,1,0,0
MT-ATP8,0,1,0,0
TMUB1,0,1,1,0
ACTR2,0,1,0,0
ETNK1,0,1,0,0
APOBEC3C,0,1,0,0
RILPL2,0,1,0,0
SH3BP1,0,1,0,0
PCBP1,0,1,0,0
PBX2,0,1,0,0
LTB,0,1,1,0
SNORA1,0,1,0,0
WIZ,0,1,1,0
CIZ1,0,1,0,0
SBK1,0,1,0,0
RPL22P1,0,1,0,0
SLC9A3R1,0,1,0,0
SNORA22,0,1,0,0
SNORD116-2,0,1,0,0
IFITM2,0,1,1,0
FLT3LG,0,1,0,0
KRI1,0,1,0,0
DENND1C,0,1,1,0
SCAF1,0,1,0,0
VTRNA1-1,0,1,0,0
MEN1,0,1,0,0
SLC25A23,0,1,0,0
ANP32B,0,1,0,0
CCDC124,0,1,0,0
MT-ND3,0,1,1,0
PROSER3,0,1,0,0
TRIM59,0,1,0,0
AGFG2,0,1,0,0
MIR663AHG,0,1,0,0
TESK1,0,1,1,0
IDUA,0,1,0,0
PRR14,0,1,0,0
SNORA60,0,1,0,0
RNU4ATAC,0,1,0,0
ZBTB7A,0,1,1,0
CRYZ,0,1,0,0
SNORD116-8,0,1,0,0
MYO18A,0,1,1,0
NEXN,0,1,0,0
CD3G,0,1,0,0
TRAM1,0,1,0,0
OAS2,0,1,0,0
PLSCR3,0,1,0,0
LRFN3,0,1,0,0
CD164,0,1,0,0
RFK,0,1,0,0
MKNK2,0,1,0,0
HNRNPA2B1,0,1,0,0
SNORA75,0,1,1,0
PCED1B,0,1,0,0
BCL9L,0,1,0,0
RAB1B,0,1,1,0
MLLT1,0,1,0,0
RARA,0,1,1,0
CDK2AP2,0,1,0,0
MT-ND2,0,1,0,0
SNORA80E,0,1,0,0
ZMIZ2,0,1,0,0
BMI1,0,1,0,0
REXO1,0,1,0,0
RN7SKP71,0,1,1,0
ERF,0,1,1,0
POU2F2,0,1,0,0
DOT1L,0,1,0,0
ZNF865,0,1,0,0
MT-CYB,0,1,0,0
DMTN,0,1,0,0
LMNB2,0,1,0,0
CCDC82,0,1,0,0
SCARNA1,0,1,1,0
SNORD55,0,1,0,0
RNU2-6P,0,1,0,0
RAB10,0,1,0,0
SORBS3,0,1,0,0
MAP1A,0,1,0,0
PRR12,0,1,0,0
KLF16,0,1,0,0
SNORD116-16,0,1,0,0
FBXL16,0,1,0,0
HNRNPH3,0,1,0,0
AC243960.1,0,1,0,0
AHDC1,0,1,0,0
SNORA66,0,1,0,0
GIMAP7,0,1,0,0
CCDC9,0,1,0,0
C5AR1,0,0,1,0
CYB5R3,0,0,1,0
NFE2,0,0,1,1
IL1RN,0,0,1,0
PEAK3,0,0,1,1
MXD1,0,0,1,0
PDLIM7,0,0,1,0
SLC9A1,0,0,1,0
RASGRP4,0,0,1,0
TOR4A,0,0,1,0
ZNF628,0,0,1,0
ARID3A,0,0,1,0
FOSL2,0,0,1,0
KIF21B,0,0,1,0
CSF2RB,0,0,1,0
AQP9,0,0,1,0
LRP10,0,0,1,0
TBC1D10B,0,0,1,0
CD177,0,0,1,0
MAST3,0,0,1,0
SPI1,0,0,1,0
PML,0,0,1,0
ITGA7,0,0,1,0
FLOT2,0,0,1,0
AC067852.2,0,0,1,0
GTF2E1,0,0,1,0
CTBP2,0,0,1,1
MNDA,0,0,1,0
VDR,0,0,1,0
RAVER1,0,0,1,0
STK40,0,0,1,0
FCER1G,0,0,1,0
HSPA1A,0,0,1,0
TLR8,0,0,1,0
SH3BP5L,0,0,1,0
GCA,0,0,1,0
PRRG4,0,0,1,0
RBM47,0,0,1,0
PLBD1,0,0,1,0
FBRSL1,0,0,1,0
AGAP2,0,0,1,0
WAS,0,0,1,0
BCL3,0,0,1,0
SPN,0,0,1,0
NFAM1,0,0,1,0
ZBTB7B,0,0,1,0
CYFIP2,0,0,1,0
RP2,0,0,1,1
FRAT2,0,0,1,0
MID1IP1,0,0,1,0
FPR2,0,0,1,0
EPN1,0,0,1,0
CEBPB,0,0,1,0
RN7SL674P,0,0,1,0
KLF2,0,0,1,0
MBOAT7,0,0,1,0
DDIAS,0,0,1,0
WBP2,0,0,1,0
TRPM6,0,0,1,0
RGS18,0,0,1,0
SNORA33,0,0,1,0
CX3CR1,0,0,1,0
SRGN,0,0,1,0
DGAT2,0,0,1,0
TNFSF14,0,0,1,0
B3GNT8,0,0,1,0
LMNB1,0,0,1,0
VASP,0,0,1,0
SIPA1L3,0,0,1,0
FAM8A1,0,0,1,0
ADAM19,0,0,1,0
CYP1B1,0,0,1,0
CEACAM3,0,0,1,0
SIRPA,0,0,1,1
RNF24,0,0,1,0
STX11,0,0,1,0
GOLIM4,0,0,1,0
TAF13,0,0,1,0
MYO7B,0,0,1,0
TSPAN2,0,0,1,0
TP53I11,0,0,1,1
SERPINB2,0,0,1,0
MPEG1,0,0,1,0
TFE3,0,0,1,0
DTX2,0,0,1,0
JAKMIP2,0,0,1,0
PSD4,0,0,1,0
SMPDL3A,0,0,1,0
ULK1,0,0,1,0
NRGN,0,0,1,0
UBALD2,0,0,1,0
ZDHHC18,0,0,1,0
MFAP1,0,0,1,0
LATS2,0,0,1,0
CD93,0,0,1,0
CASZ1,0,0,1,0
VNN3,0,0,1,0
LRRC4,0,0,1,0
PIP5K1C,0,0,1,0
GPR27,0,0,0,1
PSD3,0,0,0,1
PTAR1,0,0,0,1
ITGA1,0,0,0,1
UBXN2B,0,0,0,1
CTSD,0,0,0,1
RAB27A,0,0,0,1
UBE2W,0,0,0,1
QPCT,0,0,0,1
GLO1,0,0,0,1
GOLT1B,0,0,0,1
EID1,0,0,0,1
CD79A,0,0,0,1
PLXDC2,0,0,0,1
RCBTB2,0,0,0,1
ITGAM,0,0,0,1
PRAM1,0,0,0,1
ARID5B,0,0,0,1
VBP1,0,0,0,1
LAMC1,0,0,0,1
SLCO4C1,0,0,0,1
TMEM170B,0,0,0,1
SLC25A24,0,0,0,1
CD38,0,0,0,1
SLC7A14,0,0,0,1
FCRL1,0,0,0,1
ZFP36L1,0,0,0,1
DCK,0,0,0,1
OIP5-AS1,0,0,0,1
TRAF3IP3,0,0,0,1
GNG2,0,0,0,1
ERGIC2,0,0,0,1
DLAT,0,0,0,1
CCDC88C,0,0,0,1
FOXN2,0,0,0,1
RALGPS2,0,0,0,1
LBR,0,0,0,1
