"","32140205_Neutrophils","32140206_Neutrophils","32150052_Neutrophils","32150091_Neutrophils","32150099_Neutrophils","32150229_Neutrophils","32150230_Neutrophils","32150289_Neutrophils","32150744_Neutrophils","32150750_Neutrophils","32150754_Neutrophils","32150755_Neutrophils","32150756_Neutrophils","32150762_Neutrophils","32150940_Neutrophils","32150952_Neutrophils","32151039_Neutrophils","32151043_Neutrophils","32151044_Neutrophils","32151045_Neutrophils","32151047_Neutrophils","32151048_Neutrophils","32151050_Neutrophils","32151137_Neutrophils","32151371_Neutrophils","32151372_Neutrophils","32151407_Neutrophils","32151412_Neutrophils","32151418_Neutrophils","32151432_Neutrophils","32151567_Neutrophils","32151572_Neutrophils","32151577_Neutrophils","32151647_Neutrophils","32151668_Neutrophils","32151707_Neutrophils","32151872_Neutrophils","32151886_Neutrophils","32151889_Neutrophils","32151942_Neutrophils","32152113_Neutrophils","32152115_Neutrophils","32152153_Neutrophils","32152155_Neutrophils","32152160_Neutrophils","32152162_Neutrophils","32152165_Neutrophils","32152205_Neutrophils","32152208_Neutrophils","32152217_Neutrophils","32152294_Neutrophils","32152295_Neutrophils","32152297_Neutrophils","32152299_Neutrophils","32152300_Neutrophils","32160215_Neutrophils","32160439_Neutrophils","32160509_Neutrophils","32161284_Neutrophils"
"32140205_Neutrophils",0,84.7730679760931,114.963207072588,93.6994107625182,88.5465170514564,127.181257596001,93.1607277689469,90.5316240413508,96.3984111485725,200.329988309982,88.8475496558263,84.8430104059401,87.7211988451521,96.5829709895172,85.8028625550165,88.6201674985912,102.243565763642,90.8233711020584,137.863322016463,86.482748962163,84.8251705889763,85.0734662532255,149.80435644918,107.667495459447,87.0906747400604,103.168178426868,98.430603924359,89.4080763181013,85.8850838204343,99.4020155506973,88.8760184540613,91.7970070709122,88.5879749824864,84.7653840458434,86.6444486171701,80.7278345311413,87.6629941889817,96.6048357757486,90.9472938130848,102.742415861164,94.5040323673593,93.1869756609195,127.49539002536,103.362475976265,91.6580160227845,87.2247532319804,88.1544622920358,129.787751083051,238.587792512118,87.5905912773889,94.5530290480989,95.3135942911951,91.5894187048023,86.7450088375433,98.6343736646273,98.1668832682797,98.4893514691874,88.5792028483945,111.801803125199
"32140206_Neutrophils",84.7730679760931,0,118.516514247861,82.5602274747965,78.0741940619927,122.145709973822,80.1060624263141,88.1254884796706,91.35814522495,192.849645132899,78.3930864918435,82.068813914743,74.8016924063334,87.5663980287113,73.4761452356825,81.1123897268369,92.6476604846117,78.8860345893925,134.568513572524,78.2968357306384,82.1218017479304,83.3343917703403,153.240056870008,112.356800002921,79.3876378637302,90.7420676244913,90.3800888253375,83.9337453422118,86.1724138144665,97.8963532726565,88.9160084646694,81.2414220042751,87.9571554515855,80.6073741012453,74.7285287830369,85.2150335004267,81.0609111285857,79.9806008051794,80.6876946394979,98.3689139769522,84.488220484008,86.9525247479621,117.1686694871,97.9581037715766,78.0952734204751,87.4179812685553,77.378881886086,144.022549623833,255.750790319802,84.6100673738453,91.6781186899334,92.6910794790539,81.9007084087132,77.1410861041293,87.7638000984273,97.4707529738859,85.64157627196,81.8658598824778,111.384551902135
"32150052_Neutrophils",114.963207072588,118.516514247861,0,120.965047966513,113.724743856411,122.486637721412,116.882235887225,122.085402809759,136.890167936595,202.061848611334,124.785797771317,122.695736524627,130.087921449878,117.589079624551,113.050422548358,118.306732375823,129.847568784524,116.362296606083,130.313312108266,126.122908408638,110.104941570687,113.661107444255,146.226277715734,112.503259893709,117.014158000717,138.129440639737,121.20626012142,113.302074594033,123.201126658523,133.955752325575,116.374161820686,124.552343281048,112.849755992014,121.154996216418,120.653634914474,103.20034170192,110.156243159486,126.894516394011,124.068236595313,110.166743188815,124.957199833165,126.032585245916,158.219866715192,123.478718743749,121.768356344655,119.71167904845,115.432762854588,128.361789729199,212.670056817493,121.90274685301,109.660921052234,111.871440036855,110.751722783742,126.242813636861,117.127924687642,97.9664370160401,129.398814003756,117.2546808397,97.4445994260601
"32150091_Neutrophils",93.6994107625182,82.5602274747965,120.965047966513,0,73.1119045698341,130.7538596266,81.697742426146,87.3985898940844,99.1892245777278,189.054038582042,87.992189298061,87.2189504729798,87.1261732365428,97.4290836565754,84.1081887208632,84.5124631976189,84.0264065155395,85.0846944104105,140.62510286208,77.5074467711397,80.6304758426237,78.7300429157034,156.806286398542,113.662301183657,77.5624588442691,99.2603413309501,80.3479019471457,83.4208431946815,91.499208227844,103.435970071748,85.6045420691921,82.7600590071816,94.555246004958,75.0991977836195,81.5385136643759,95.0677625387202,72.3315917889231,78.2687404222433,81.4402988905971,83.9770767759602,84.5889308982131,77.7048844405356,119.308765478324,96.6252582620585,76.8479755910837,85.6987340775911,79.5710781304284,151.171652149849,258.80944536353,90.980423899615,94.409701554911,94.0384571342249,79.1306304328414,79.6931573823213,89.9697330493006,100.315311511076,80.3307987061893,76.3977465505582,105.702438285347
"32150099_Neutrophils",88.5465170514564,78.0741940619927,113.724743856411,73.1119045698341,0,123.530272700728,72.3989943861119,82.733836878667,97.1571752667116,170.478332672905,82.0844178060165,81.3447662701219,81.46358501529,90.333037531297,68.5817016153474,78.438065304504,89.5749524150415,79.820039178011,130.174661375373,77.3657607913498,78.3176611472778,77.4640523161037,147.859995868027,106.791113082039,71.7158623181114,96.0807377020135,83.110683308297,82.6627706162492,87.1306494390922,97.2855763025285,86.3167925778767,81.2755603271222,86.1791339495218,71.2516777161873,71.8965505137588,88.0305095989318,73.3830217895158,73.5606557528311,77.0100893355972,89.9959916825365,77.4193837361578,82.9239831424634,119.989329883835,96.6928845998067,71.285163779653,84.707694981257,74.2594046276983,142.434714791171,247.986339415473,89.5140417307545,88.929194498715,84.3463749291315,73.9473110647264,77.8727104790161,84.7184749661909,89.861623371911,83.5991094315621,78.4695798731915,99.6200830236912
"32150229_Neutrophils",127.181257596001,122.145709973822,122.486637721412,130.7538596266,123.530272700728,0,124.578417663559,133.271126031223,137.057626515767,206.77219804736,126.957945751389,133.294696948057,130.262815952928,130.852662997834,118.674129408708,129.425281876734,138.692994987429,121.876059437712,133.748399343008,132.783634663237,126.479100314752,130.173859401703,155.611042805588,136.321830570098,124.71987255513,138.316851396277,134.580652864673,128.391422650963,135.162315726141,142.265886399779,135.834880354533,132.166670628783,124.678579762553,129.376184088168,125.189058002614,117.545631311314,125.440639197251,127.764774004966,128.828847947499,136.800191006303,130.385744625076,137.716748228603,156.483709538052,133.240128054778,125.554767486695,135.693623933947,122.367071614221,159.058732042769,244.538731944903,131.92408141242,126.283555754866,124.200418164259,120.267558655621,128.736988419902,123.962692748983,114.642560526169,138.919867457618,128.225240888192,127.052957862571
"32150230_Neutrophils",93.1607277689469,80.1060624263141,116.882235887225,81.697742426146,72.3989943861119,124.578417663559,0,83.0826380726727,94.4253053967753,167.365077809464,76.5089595848159,77.0257734484349,73.6864493685384,85.0555412470184,67.8422711965501,81.4308687948184,90.6077679259274,80.6474523056979,134.530780106102,80.8274942955215,81.372070672373,80.1411352229007,150.679076372332,111.26464964262,79.5928704101912,91.210495484494,90.2770875630258,78.5822859004921,86.1735977581262,95.3340078194094,96.080334321506,82.3969216216109,90.0327360596575,83.5959765737681,76.2634424428837,93.6053701680031,77.6787820959935,73.1151912178402,77.8316974318237,96.1530756475602,75.0108369091924,87.3097587958924,122.911789548062,101.235178111091,77.4956354267671,88.026123587418,75.5279005950164,149.591951954605,255.41908848069,89.9351514026303,93.7484954332868,93.0351964797793,77.71556204972,77.5490054490729,87.7394408007226,95.6690162346671,85.1550636849912,85.9010807890458,106.310241360088
"32150289_Neutrophils",90.5316240413508,88.1254884796706,122.085402809759,87.3985898940844,82.733836878667,133.271126031223,83.0826380726727,0,98.4094434981268,190.143086808021,90.3705651996067,80.0632222934946,82.8651620350016,89.3147947054647,84.1438295293173,86.1163186781415,95.1624373173877,88.6836087382315,145.792270836142,82.3566956434053,86.6000504179112,82.853296580069,160.756763612333,101.950370928498,85.7902172069861,99.4755513575814,95.1616223500792,88.3525329934639,85.4665834332567,93.6151269204091,90.4091805122953,86.5662057499087,86.6167631995007,85.4989424109118,81.192919906014,91.1055696653891,82.7492392189587,89.0108402510065,88.0862639017187,92.7148076537609,84.2448364662601,93.4377931406864,122.706675764453,100.760481039682,82.7458017192784,84.8972650486465,81.7076030549769,137.477707736775,249.855757926618,96.6431634134365,92.3824184719853,90.7454181580545,85.5152990140117,82.5661792332091,95.579393869317,106.276729982216,94.042875938992,89.7783650468644,111.718304273047
"32150744_Neutrophils",96.3984111485725,91.35814522495,136.890167936595,99.1892245777278,97.1571752667116,137.057626515767,94.4253053967753,98.4094434981268,0,196.738316897947,86.9796672840228,90.7833863273476,83.0741291935531,103.397554619932,89.2864742120494,94.3172715257856,108.157942175943,96.2560987165098,148.856693000443,91.6695788059594,104.650792614832,101.475631814214,163.986301756579,122.14734131438,94.0711422160535,88.794704331009,110.057366594827,101.591130668131,91.7999647336409,101.049629303778,108.589836770273,100.248689230135,99.8545331071727,96.3039372336062,88.1121873332228,101.458866476925,100.648528446831,94.287639338907,93.0102925646557,114.825300093286,91.5661964516754,105.581513748888,122.958777416868,107.832261070961,93.7289787591555,102.536897758889,92.070372343873,154.319492761096,263.245926596026,104.462264249105,106.88243991345,103.14762626677,100.931064311134,87.5618164024901,103.998109295902,116.954323276603,106.233406276041,100.511961985047,132.267756323172
"32150750_Neutrophils",200.329988309982,192.849645132899,202.061848611334,189.054038582042,170.478332672905,206.77219804736,167.365077809464,190.143086808021,196.738316897947,0,179.162022540837,185.733625123886,187.846238106532,196.003948832122,172.060342387566,186.477008042259,197.833194590695,190.110081261597,197.993429031682,192.227578152734,191.872137450952,190.303779139813,200.3820243128,202.003680397232,182.955936582775,194.260175881666,198.072059732038,189.731893932277,190.227997736168,196.415671802262,202.418733893542,194.07894250447,192.399703552672,185.432471099894,181.39945856351,200.332501199714,191.341860163629,176.265940685305,183.52450751157,200.313588473338,175.112456119298,194.866433335926,216.256079775958,196.7835519586,187.067633532719,194.670944743461,186.352845183221,237.324553017037,286.546009286684,203.060936608521,194.83550393335,188.469753249954,186.266360287595,184.788265255527,188.713810019289,180.641795356211,193.012327262559,193.628422016039,190.503764963126
"32150754_Neutrophils",88.8475496558263,78.3930864918435,124.785797771317,87.992189298061,82.0844178060165,126.957945751389,76.5089595848159,90.3705651996067,86.9796672840228,179.162022540837,0,79.7260417046433,71.732877659671,88.1734305694241,73.3677282096531,85.4512715750095,98.7613716013683,84.2572663961592,136.981400548566,87.5984462678181,89.2246136183966,91.1534938892491,157.040875852938,118.700953113665,84.7830152437214,89.2283501853081,96.7839730770072,83.5765845018868,86.1225487073925,97.2369951718931,101.326516977508,88.7700781603428,93.6387005479883,90.2561711099306,78.3468057154888,94.1427393820686,88.0028333221815,80.2762191741573,83.3790858188867,104.283756219637,81.7636775746492,95.6521144669639,122.029296501655,104.985744314065,84.9215126730851,94.2021158817024,84.0829314499243,151.845054404477,259.424518705064,90.935444664991,98.5431191789565,98.6135888206061,89.1776597424266,78.9069146241072,95.0928868178814,103.716595847817,94.541880494806,94.000139917018,118.843709405781
"32150755_Neutrophils",84.8430104059401,82.068813914743,122.695736524627,87.2189504729798,81.3447662701219,133.294696948057,77.0257734484349,80.0632222934946,90.7833863273476,185.733625123886,79.7260417046433,0,75.9263697640191,85.758534469186,76.8056513286685,81.66115972023,94.0526480567714,85.77217092421,143.590295317368,79.5221253997852,81.96615514333,80.3214485674499,157.045331502727,108.073977347022,80.8583161129043,93.3258418545555,90.8255677690182,80.3482051264439,78.3440742396667,87.0147905260357,87.7570881173791,85.0348584688844,85.2942006765191,84.4604233192427,81.8569195721582,89.7865996384709,82.2478479433356,85.2251030784149,82.5050176065659,94.5219135764056,80.6423496211018,90.2106425948976,122.794203667622,103.511092326144,85.4487243782823,81.0325107904824,81.0713607321778,138.269946739242,250.592481668445,87.8495964251196,93.6221181782328,94.0306370348852,84.138426134661,78.3862102442263,94.4683257247076,103.637340435514,93.2691423370483,90.2702918346875,111.365589451657
"32150756_Neutrophils",87.7211988451521,74.8016924063334,130.087921449878,87.1261732365428,81.46358501529,130.262815952928,73.6864493685384,82.8651620350016,83.0741291935531,187.846238106532,71.732877659671,75.9263697640191,0,82.44346577316,71.7452115915379,82.9641474292706,94.2604312876437,79.7379150499688,143.695324871359,77.8274007698478,86.0187016679967,86.7601608204022,163.341959039743,115.77443054395,83.5677330858268,84.1438967193804,95.3029450686124,84.4049000252072,83.102886622005,92.0072498012369,98.3876187542026,81.7637674996958,88.5285641186609,87.1727090610498,74.7793964998529,91.8361348165819,85.5281686979502,79.1175798536267,80.2724692748956,104.096630314971,79.1234689165158,94.1086176446591,116.349353301865,102.942085996031,79.4598540380327,91.2441221476054,77.2738084409291,151.342587823336,265.59017677648,88.6989692575773,96.6569224609498,94.78688975283,86.2039949698154,73.3181633005091,92.1967669755808,107.911765595339,90.6017216551983,90.6663530142511,121.663393821569
"32150762_Neutrophils",96.5829709895172,87.5663980287113,117.589079624551,97.4290836565754,90.333037531297,130.852662997834,85.0555412470184,89.3147947054647,103.397554619932,196.003948832122,88.1734305694241,85.758534469186,82.44346577316,0,82.1367833803807,89.9699829678077,103.710213747105,88.8226265765509,144.767337515689,92.3599579093251,89.0155747222552,93.2170028825851,165.676469243982,109.889077550223,96.988688349484,100.886090292028,98.8414479224992,88.0677233750332,94.3109010044815,100.46109423496,99.8213575306204,90.3773824825673,91.6590634046478,103.14408636415,87.0557131822791,93.7393232950335,87.9938774197149,95.279954792619,95.3138368697122,99.6609035886725,91.7176048896901,107.935185918257,127.224711176427,110.624772970497,90.6617284382942,97.8796395621516,86.7134309639743,136.270445608818,253.088479133606,96.2750131795626,95.5144991915939,99.4251669167716,90.9662059636144,91.1070784358329,98.7528658950899,109.215267140801,102.48959067725,101.538914057952,112.932491850242
"32150940_Neutrophils",85.8028625550165,73.4761452356825,113.050422548358,84.1081887208632,68.5817016153474,118.674129408708,67.8422711965501,84.1438295293173,89.2864742120494,172.060342387566,73.3677282096531,76.8056513286685,71.7452115915379,82.1367833803807,0,79.0608646544457,96.402246866847,77.7708955100778,126.568570983441,81.2549383528878,82.9984080194282,82.4647360685787,147.890580410613,105.161746009462,76.4317441044345,91.3233301442111,93.6641740021757,83.0067531742534,82.9456321339632,93.2252712723248,94.6339542627903,84.6218856394132,82.5616089852489,80.4737205995895,70.6450715593305,83.9179210610236,81.8693782042869,75.7319236937013,78.3614672045444,99.5804333973365,76.7359155792263,92.9159811488539,119.312804294572,98.8108499676651,75.2159878419985,89.933186302078,74.8404470022832,137.451613495141,246.248005468484,89.1624192682179,87.1530862437943,83.6607892737385,77.4858959136682,77.1340481808276,84.7442542079213,90.4743727704093,90.0879960795491,87.2246642800851,105.674662884987
"32150952_Neutrophils",88.6201674985912,81.1123897268369,118.306732375823,84.5124631976189,78.438065304504,129.425281876734,81.4308687948184,86.1163186781415,94.3172715257856,186.477008042259,85.4512715750095,81.66115972023,82.9641474292706,89.9699829678077,79.0608646544457,0,97.2558131750644,86.3315026640867,137.873323260831,80.3142198283105,88.6120364022417,82.2664271241359,153.717487785632,103.651947851678,82.435974508774,92.5264246476482,95.1825771324718,88.2759607694724,85.4281329260789,94.4982412486802,88.6062733065405,86.7035962020083,86.9188313082149,85.8250113312327,76.3242294621813,88.8760970989283,81.6871095334891,82.8816131493529,83.3600583119916,96.0552271652785,80.8525231851871,92.7869468336301,119.409351810662,96.4818321513211,79.9604374075114,87.1860521143766,77.1408813429562,135.437912373941,245.676226603134,95.0018555460125,89.4211438313239,89.6638424013098,83.5556600221921,79.9002672361486,90.1288620513049,99.7728735279856,92.0057445951086,87.068938339852,108.845199985078
"32151039_Neutrophils",102.243565763642,92.6476604846117,129.847568784524,84.0264065155395,89.5749524150415,138.692994987429,90.6077679259274,95.1624373173877,108.157942175943,197.833194590695,98.7613716013683,94.0526480567714,94.2604312876437,103.710213747105,96.402246866847,97.2558131750644,0,95.6366095331912,151.166618714321,85.5914716570723,90.4966078976408,86.3105103646264,163.939226007577,124.536513433396,92.5652460244084,103.552261166312,91.7131017101014,88.3358790351934,99.8303046369479,108.110367356482,95.7580512179778,87.8340575399818,105.10454379557,87.6896022665376,92.9132498707283,104.523449229501,78.9548521207403,90.7190634635413,94.2690146960235,90.0837350085859,97.5630703748184,82.0229405988243,128.837031165335,110.93407163059,91.8354788915666,92.6695246892592,91.4697697776164,161.619949724684,270.2915529481,91.6519835214718,109.991798967831,110.701178058337,94.5221390816568,92.7057770401548,103.33892154441,112.157332750275,85.720175923098,85.5557702203399,118.13181046832
"32151043_Neutrophils",90.8233711020584,78.8860345893925,116.362296606083,85.0846944104105,79.820039178011,121.876059437712,80.6474523056979,88.6836087382315,96.2560987165098,190.110081261597,84.2572663961592,85.77217092421,79.7379150499688,88.8226265765509,77.7708955100778,86.3315026640867,95.6366095331912,0,133.405714029591,83.911182646576,83.4727385733918,88.5341549099267,156.962730417677,110.875562884748,83.3615176771484,95.6837811966603,92.867899275387,87.4958072535364,90.3401687615467,100.536952450871,95.6107768944764,86.8104256522987,88.9966547509498,86.9852654856364,80.2559587787102,89.3219483987607,83.1265236926377,80.9067713324616,81.2526746467877,98.6549803541596,85.1580206442931,95.0308141366066,118.670488990059,98.4336670466676,79.3192401768133,92.338446522641,78.0355146619495,145.566208668852,254.915667505997,92.9858348293712,90.7606271659906,91.3216347900249,79.7682778286596,80.2583286907935,88.0234460555729,97.1316677066094,94.1483755994063,87.6990644113678,107.628884197907
