"","32140205_TLymphocytes","32150052_TLymphocytes","32150056_TLymphocytes","32150091_TLymphocytes","32150099_TLymphocytes","32150229_TLymphocytes","32150750_TLymphocytes","32150754_TLymphocytes","32150756_TLymphocytes","32150952_TLymphocytes","32151039_TLymphocytes","32151045_TLymphocytes","32151048_TLymphocytes","32151050_TLymphocytes","32151137_TLymphocytes","32151371_TLymphocytes","32151407_TLymphocytes","32151418_TLymphocytes","32151432_TLymphocytes","32151567_TLymphocytes","32151572_TLymphocytes","32151577_TLymphocytes","32151647_TLymphocytes","32151668_TLymphocytes","32151707_TLymphocytes","32151808_TLymphocytes","32151872_TLymphocytes","32151889_TLymphocytes","32152113_TLymphocytes","32152115_TLymphocytes","32152155_TLymphocytes","32152160_TLymphocytes","32152162_TLymphocytes","32152165_TLymphocytes","32152205_TLymphocytes","32152208_TLymphocytes","32152211_TLymphocytes","32152217_TLymphocytes","32152295_TLymphocytes","32152297_TLymphocytes","32152299_TLymphocytes","32160215_TLymphocytes","32160509_TLymphocytes","32161284_TLymphocytes"
"32140205_TLymphocytes",0,76.8351651630009,78.5175527921867,70.8114682847098,97.1380361014962,90.4021420360826,86.1199768268895,79.93553998838,87.3281855387634,66.2654407966239,78.099146574933,70.0939516248226,69.0566971285724,81.2036493523314,88.0632940716607,171.226981323049,71.4645020124886,75.0733383058233,85.6597851631344,67.2765621189603,70.7758379405868,74.8467863388396,72.1446492443876,70.0103293862482,74.3935230653658,74.4254824469418,76.2455130144616,87.7906627222916,78.7303104243665,75.7400437183521,72.4771001118976,79.3951905069533,77.2129541833126,73.8693774923002,82.3041476044626,71.7361879002913,84.3883264313491,77.0859446519635,143.433752830259,71.4886636173638,78.0466237418641,75.9007391690452,65.3186314237203,76.1775439352919
"32150052_TLymphocytes",76.8351651630009,0,76.1678994212679,78.2936692917847,84.0701377081256,78.5144232931775,72.2182626790415,64.9513598118419,68.4254662919184,68.4702535429945,71.615697707324,61.3763088701186,63.6421308010782,72.9667755198947,63.614106550711,165.992867716567,79.1490952545766,68.3905161453703,78.3927903276243,80.2624110942544,57.5592879442393,65.2736919061111,64.2816089235986,72.7111646916748,62.3345766196552,70.1862950436914,73.2587380716958,80.0759064271284,75.0795247673723,78.815684438922,62.8219770762868,53.3473333972847,74.4008526287671,56.9848374377433,62.1633235961458,69.8536527616187,64.8267403959967,61.8255837002928,135.100480752764,65.4371380058364,63.2455434994104,58.9485214452642,66.8635396087315,55.9748347218752
"32150056_TLymphocytes",78.5175527921867,76.1678994212679,0,70.660720629277,92.1746112175781,88.6391847310317,75.9989635737218,81.2442857725206,75.737689940467,68.6011061701986,70.1633767671295,72.348230990692,69.4381206009747,70.5391092193965,76.5635623620527,169.097504060161,78.7093659712818,67.3756155209074,71.073067060591,72.4448512933663,75.0907403459735,67.3289207253354,75.7050846601355,89.093628398308,71.8767364396059,73.1418089331853,64.7333023897621,72.6052707203359,70.4249596312545,75.0909518082723,73.9851776984996,72.2563756957117,70.508931340262,72.2582349791222,72.6652440517055,65.5673456895164,92.3694750788906,77.4882484313208,139.502263154929,66.6799634592148,72.4529929468352,80.6426433739064,75.3401175485315,72.0699094770387
"32150091_TLymphocytes",70.8114682847098,78.2936692917847,70.660720629277,0,94.322983240827,96.6162926002075,81.9673970921055,84.1049892619667,87.0904379117774,68.8927255821039,72.1165715835991,76.7341591784175,71.7262895378057,76.7280808462462,82.7097877313687,163.880293128627,71.5370229555883,70.3783510692156,77.3446701368638,58.9685031303144,72.5520147384572,69.6171276047795,75.8195623671038,84.2697303399331,73.1211967859896,73.622884564846,69.2000787613706,83.5220301428142,73.2935025120781,70.3299975916051,74.4803035203663,77.6317130515424,72.6827142897903,74.206789786626,80.1422194602111,63.4773597928241,92.1514699804969,80.5478340335226,134.792988457564,66.5380281712188,77.2133515542043,75.5260428783649,68.7956680042185,72.6140068243998
"32150099_TLymphocytes",97.1380361014962,84.0701377081256,92.1746112175781,94.322983240827,0,102.755940605386,91.3686094084502,87.5329730738799,89.0475204876517,91.3923718472284,92.4992269792865,87.4687497143594,87.7780206745946,90.8671808168814,90.9107556115706,168.520108961096,94.1816652650992,88.5323456231921,92.5998656264102,97.2447396746347,85.7888729137691,86.6948176584919,89.1584293948313,100.439895428406,87.4349442599461,90.7605109812091,88.5663724020853,96.4515347463633,93.8645589787022,97.5391239644676,87.931595956528,84.1839986050869,91.735457114404,85.9795588076815,86.0625622689365,89.7735029909889,96.2745564917637,87.797494996825,138.737551395376,85.4453215051228,88.5800089884967,88.7365077831757,90.737137336971,84.1954597989089
"32150229_TLymphocytes",90.4021420360826,78.5144232931775,88.6391847310317,96.6162926002075,102.755940605386,0,84.1136666306728,86.5632585323522,73.1180527979041,82.2831178488398,92.272727295719,76.740570293429,83.3719636650627,85.564784927115,82.6511224110652,199.742832961334,90.7038470968729,80.9329451926912,93.8439660379229,95.9415630932671,82.263665335136,78.9114266195831,66.7428187715313,78.888560207693,89.2511709166158,90.7603530773899,85.0422312546051,80.6228764964393,74.9315832076232,90.8811988541118,71.6566281721223,73.1002651432331,88.6144662958542,74.0204002020883,83.7840146304832,89.3898246678355,81.5486426938711,84.4387130040515,166.272913893427,80.8905917328266,73.4297689790113,84.7956475199576,85.9799507285724,78.8488714012334
"32150750_TLymphocytes",86.1199768268895,72.2182626790415,75.9989635737218,81.9673970921055,91.3686094084502,84.1136666306728,0,77.9341985084892,72.6034374459729,71.9697806460302,76.4552002665658,72.2737914902274,75.0869373856203,76.125276766907,73.9005829253316,178.816131219847,84.9829005642049,68.4351177710599,76.8620773528376,82.62399458955,73.1966715820404,69.8583427298101,72.6582998974258,87.0867782305045,73.1534390225355,79.4026368103744,74.2916410912204,75.9898724052346,75.1715277609642,82.9254216759887,74.561843512432,70.4878675928331,77.9919542496625,70.9787196652144,73.1635902114083,72.0556604387973,85.9010065617352,74.2942698235899,147.837074003507,71.2739516122601,70.3563633413051,77.8852211166034,79.8420263857129,70.6376971359276
"32150754_TLymphocytes",79.93553998838,64.9513598118419,81.2442857725206,84.1049892619667,87.5329730738799,86.5632585323522,77.9341985084892,0,66.6721730710774,71.3857360828223,76.01357509824,60.9611177751396,67.4902505426931,76.2145070359313,71.4644880742272,159.53735280969,84.0029049428504,72.7251757935253,83.5642910391818,86.6744193011752,64.820578440563,69.8928094484642,68.5086390090088,74.6632092634673,62.1308420670541,70.1274009697522,78.4629964185401,83.4604792431625,80.3558478601039,81.5908402636476,72.7465222830817,65.3850773605648,78.1705350663442,65.8090793093395,60.3758241712276,73.9114768975831,66.5142888040545,56.7705971809797,132.396250590344,72.6354493695356,74.2839759488322,68.006210439038,78.2625514641326,65.6612950798427
"32150756_TLymphocytes",87.3281855387634,68.4254662919184,75.737689940467,87.0904379117774,89.0475204876517,73.1180527979041,72.6034374459729,66.6721730710774,0,73.6383794900398,79.4339884242305,64.2183222946366,71.9736312881164,73.5687013163731,69.9276107963428,171.460882024387,85.1722864502932,69.1704190663447,78.5986969575623,90.5707496238058,74.4221723528498,69.9245204253277,68.2321942034953,85.2992577718707,70.3006147672011,78.1148029649407,73.539425874874,72.2634376120472,71.517729166005,84.2291418043649,69.6727433595643,61.9388072237016,77.6272374411795,64.4472205997716,63.1571842901773,75.1103173675405,77.1405789275794,67.9398728984987,139.902898208035,72.3714417171335,65.8773772152213,77.0260662766279,83.7806225812207,68.881839262394
"32150952_TLymphocytes",66.2654407966239,68.4702535429945,68.6011061701986,68.8927255821039,91.3923718472284,82.2831178488398,71.9697806460302,71.3857360828223,73.6383794900398,0,64.408777034362,61.9954802010237,60.6448573895659,70.5897842223256,71.993740977092,171.78555977873,72.7555274814301,61.9073728816494,74.7748025021836,68.5776097485709,64.101458920844,63.7110581847416,64.2036217191407,72.7354626942977,62.7767318346368,70.8988164377272,67.5734784224785,75.8753423489954,70.2438425230859,69.5390830732377,67.8724483474867,67.5745554283626,70.6654356665231,63.3648679240015,68.9489026920215,62.6677427653996,78.5672519658233,67.3853986686178,143.423809689782,63.3063684821335,68.330312082608,68.107920754155,67.8820558563227,63.7698458086608
"32151039_TLymphocytes",78.099146574933,71.615697707324,70.1633767671295,72.1165715835991,92.4992269792865,92.272727295719,76.4552002665658,76.01357509824,79.4339884242305,64.408777034362,0,72.051324223195,66.6607639708785,77.0421165364657,70.8446747853966,166.434867232569,83.2844972440864,68.3383065944955,81.5797225396765,74.4090765339341,72.1125335948288,67.2753827804639,75.6155720672181,85.4315258641757,65.2121263416069,75.8677269296422,69.7042632498852,85.8201016014263,79.7692844519606,72.9132557596229,76.9046624123095,72.6006665509194,73.5974183717823,70.045545932138,73.4109095563604,66.8590610533143,85.0651284977874,73.219950849991,138.768359944544,68.7119365827682,76.097021410469,74.4033113493137,74.5962452836168,67.085035476653
"32151045_TLymphocytes",70.0939516248226,61.3763088701186,72.348230990692,76.7341591784175,87.4687497143594,76.740570293429,72.2737914902274,60.9611177751396,64.2183222946366,61.9954802010237,72.051324223195,0,61.1501077719949,68.0085121872918,69.9455641851802,166.194717815685,74.5279360768018,65.1642347587146,74.52197525212,76.8514325071106,60.3331201327903,65.2989214640137,61.7369980548594,67.8809222507697,61.9355632412019,66.3758908711285,69.5952709184187,70.9562225543559,68.2680693836318,73.1305772028625,63.1986423328889,58.8906478544775,71.2220933865057,58.1965096634402,60.4597713228005,67.0916439349798,67.2408386066635,57.2116870773539,137.478549819033,65.1610622145396,64.0233829771937,64.5679011177987,69.0822687552237,61.7164604932414
"32151048_TLymphocytes",69.0566971285724,63.6421308010782,69.4381206009747,71.7262895378057,87.7780206745946,83.3719636650627,75.0869373856203,67.4902505426931,71.9736312881164,60.6448573895659,66.6607639708785,61.1501077719949,0,70.3924998761072,70.7988525229142,165.145999353234,72.6628747065989,65.7231696134003,75.0695187326011,72.5218899688635,62.0544111901608,64.7663133318622,66.8604490146162,73.9851743757954,63.5821823654003,66.9045590833812,66.971591785818,77.1246986897153,72.0983892755406,71.4389874955282,66.3043339086587,62.3479818185456,71.4029928282627,63.5689963097248,65.7951910182581,65.6996018088594,74.6393629375382,64.3470562219282,136.822747432498,63.1127360793029,68.4417038808931,66.4095727669924,66.486650229609,61.4218947959616
"32151050_TLymphocytes",81.2036493523314,72.9667755198947,70.5391092193965,76.7280808462462,90.8671808168814,85.564784927115,76.125276766907,76.2145070359313,73.5687013163731,70.5897842223256,77.0421165364657,68.0085121872918,70.3924998761072,0,78.1141573271592,174.448180524767,77.729600480785,69.0863500803828,69.3741712695934,76.8746773867841,70.1367072770722,70.8591052181954,71.550467556091,85.6971832844646,71.0521808034943,71.084451208931,68.4801716291528,67.3790623609251,69.4918005252949,79.1418298351456,73.1019604147757,68.1465293245954,74.5284197994467,69.9731587117791,68.5520909307844,68.4401462105809,87.5050195602421,71.3477107373308,145.58223845707,68.7513169019047,68.3519486297985,78.2744965353792,78.0124157720136,70.8232053349108
"32151137_TLymphocytes",88.0632940716607,63.614106550711,76.5635623620527,82.7097877313687,90.9107556115706,82.6511224110652,73.9005829253316,71.4644880742272,69.9276107963428,71.993740977092,70.8446747853966,69.9455641851802,70.7988525229142,78.1141573271592,0,169.911181880796,90.5820379400799,69.4829902338175,83.531965245469,85.9071898858565,69.8512925957861,67.4218310558022,72.4325624418075,84.7657170755238,66.8947333519544,80.732779862893,76.3526279158535,84.2852153202016,79.1802881510237,80.8242588011049,72.5125218822937,63.1279933767629,77.8005910576431,64.7262445063555,67.2071566229897,72.740305753867,74.5253731667424,70.6058842310808,139.297291167237,70.7159567756202,69.5876589762414,70.1858115798801,78.7753540748073,63.1469675594914
"32151371_TLymphocytes",171.226981323049,165.992867716567,169.097504060161,163.880293128627,168.520108961096,199.742832961334,178.816131219847,159.53735280969,171.460882024387,171.78555977873,166.434867232569,166.194717815685,165.145999353234,174.448180524767,169.911181880796,0,172.582579415218,176.329751334387,170.99867355001,170.045577377177,164.697760069741,170.658890252109,182.92700712967,184.183554683893,158.603101405983,164.322349398093,173.07650569802,188.731232400998,182.687772710001,173.859837665131,175.638682019472,167.887915954827,172.026477115654,168.802375004966,163.699302743916,164.504073265847,169.516759296746,165.085422333841,74.2175711131876,167.009009454794,178.326522135542,162.247519768194,171.819956578678,166.896716379022
"32151407_TLymphocytes",71.4645020124886,79.1490952545766,78.7093659712818,71.5370229555883,94.1816652650992,90.7038470968729,84.9829005642049,84.0029049428504,85.1722864502932,72.7555274814301,83.2844972440864,74.5279360768018,72.6628747065989,77.729600480785,90.5820379400799,172.582579415218,0,77.1014002179027,79.6053500197489,69.2325570893303,73.2467499849653,76.4303740617123,70.5066985048068,79.6739116723418,79.1085721094388,71.4823207218875,72.0499121099747,84.3257890273762,74.9127492671044,76.306546177543,76.1450111532029,78.3406809180299,80.7826450827402,76.7936882506426,82.0849420882484,73.1350425752509,91.1288893959462,79.8959967637216,143.44600224587,71.0326358316123,79.2417412023765,78.6871495265022,69.7972740209694,78.3345274675426
"32151418_TLymphocytes",75.0733383058233,68.3905161453703,67.3756155209074,70.3783510692156,88.5323456231921,80.9329451926912,68.4351177710599,72.7251757935253,69.1704190663447,61.9073728816494,68.3383065944955,65.1642347587146,65.7231696134003,69.0863500803828,69.4829902338175,176.329751334387,77.1014002179027,0,72.0656284253969,71.688962967046,68.5839309499428,61.3203295172195,64.224433868183,78.8021477133504,65.7310936677643,73.3728266980095,65.664364874407,70.7990862403155,66.2663537472789,70.9427667266753,67.0638843765435,65.0524877518153,68.8314936761359,62.4361488749262,67.4135514038042,63.3215727191431,82.0936969347699,69.305901060524,145.971842790667,63.4732421848445,64.6350416686525,72.0818408253058,71.1584830010358,64.1518325317714
"32151432_TLymphocytes",85.6597851631344,78.3927903276243,71.073067060591,77.3446701368638,92.5998656264102,93.8439660379229,76.8620773528376,83.5642910391818,78.5986969575623,74.7748025021836,81.5797225396765,74.52197525212,75.0695187326011,69.3741712695934,83.531965245469,170.99867355001,79.6053500197489,72.0656284253969,0,76.62027971329,74.6419858752664,74.4350997095126,78.6487491451639,93.1132141588281,75.7557432625147,75.3797184635122,71.8906389921514,65.9198701978641,72.4014809525756,83.5709364207805,78.1359421501399,73.1622977231058,77.0166789675559,77.3864837978938,73.8263323930735,67.2880941970645,95.2736438216961,77.6655053693326,142.30060663458,70.9595333637435,73.505798929915,82.0094275821299,80.4449019707606,75.2536586524695
"32151567_TLymphocytes",67.2765621189603,80.2624110942544,72.4448512933663,58.9685031303144,97.2447396746347,95.9415630932671,82.62399458955,86.6744193011752,90.5707496238058,68.5776097485709,74.4090765339341,76.8514325071106,72.5218899688635,76.8746773867841,85.9071898858565,170.045577377177,69.2325570893303,71.688962967046,76.62027971329,0,72.412290111093,72.3482522843123,75.0693338175005,82.3421118706556,75.3054943549697,72.5348987699057,69.8767161435987,82.3705260233315,73.0301723414549,72.4815637812337,76.2197319094878,79.7507051833382,74.5652058004392,75.6985279288829,81.9839064697924,63.217987540734,94.0195503782596,81.460756886837,141.726641097733,66.599120246653,77.5316477053918,76.265872265576,68.6515637002432,75.1991198423526
"32151572_TLymphocytes",70.7758379405868,57.5592879442393,75.0907403459735,72.5520147384572,85.7888729137691,82.263665335136,73.1966715820404,64.820578440563,74.4221723528498,64.101458920844,72.1125335948288,60.3331201327903,62.0544111901608,70.1367072770722,69.8512925957861,164.697760069741,73.2467499849653,68.5839309499428,74.6419858752664,72.412290111093,0,65.3093333713161,62.7843017918437,68.6213631248889,62.5906759596615,65.3380789530088,71.5724932906212,76.6620303112357,73.9222574396167,74.6509202218695,63.3896753038875,59.9374364810322,73.2784227714237,60.8484457582374,64.4691596653223,65.3819109315536,67.8812963405543,60.0429678292697,135.542540500294,63.1189348027077,67.1962155276724,58.6146862419703,63.093324375438,57.9455184625427
